Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken)
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses.",Course,2023,N/A,FALSE,N/A
SOLIDWORKS: Weldments,"The Weldments toolset in SOLIDWORKS helps you quickly design complex welded or bolted structures, and in this course Gabriel Corbett shows you how to get the most out of it. With simple 2D and 3D sketches, he demonstrates how to add various material types from the preloaded structural member's library and build a welded structure. From there, he covers corner options like miter and butt joints, material-positioning options like flipping and mirroring, and options for aligning and connecting the structural members.<br><br> 

See how to build assemblies from weldments and add gussets, weld beads, and end caps. Then find out how to automatically generate documentation such as weldment cut lists and weld tables to add to your drawings. To wrap up the course, Gabriel offers tips and tricks for fabricating your finished design, such as using standard-sized materials for quick and easy production.",Course,2022,N/A,FALSE,N/A
Excel Supply Chain Analysis: Solving Transportation Problems,"Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.",Course,2022,N/A,FALSE,N/A
Learning Microsoft Power Apps (2021),"Microsoft PowerApps gives you the ability to create powerful business apps that run on phones, tablets, and browsers, and pull data from over 200 sources, including Salesforce and integrated Microsoft products. In this course, join Gini von Courter as she explores how to leverage PowerApps to turn an Excel workbook into a simple business app that can be used on a mobile device or in a browser. She begins by showing how to get started, explaining how to sign up for PowerApps and upload the Excel file to OneDrive. Next, she covers how to create, view, and edit an app, including how to edit layouts and apply themes. To wrap up the course, Gini demonstrates how to share and manage your apps, and run them on an iOS, Windows, or Android device.",Course,2022,2022-06-07 17:41 UTC,FALSE,N/A
How to Have Productive One-on-One Meetings,"Regular one-on-one meetings give managers an opportunity to head off problems and efficiently answer the many small, quick questions that arise during the workweek. In this course, veteran LinkedIn Learning instructor Dave Crenshaw shows you how to get the most out of one-on-one meetings, even in today’s hybrid or fully remote work environment.<br><br>Learn how to establish a one-on-one meeting with a schedule and corresponding agenda, assign and review action items, and assess the outcome of the meeting as you follow up on promises and results. Along the way, Dave gives you pointers on listening to the needs of your employees and offering them opportunities for training and professional development.",Course,2022,N/A,FALSE,N/A
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2022,N/A,FALSE,N/A
Visio 2021 Essential Training (Office 2021/LTSC),"Microsoft Visio is a popular diagramming app that's used in a variety of industries. In this course, David Rivers will help you master the intricacies of this powerful tool, whether you're using Visio to create a flowchart, map out a network, or draw a floor plan. David shows you how to open files and adjust the UI, then steps you through creating, adding, removing, and changing connected diagrams, including SmartShapes. He shows you how to add a variety of additional objects to diagrams, including graphics, ScreenTips, and more. David covers themes, shape fills and effects, shape lines, and creating an Azure diagram. He goes over using AWS shapes in a diagram, as well as using Visio to update workplace floorplans, create a wireframe for a mobile app, and create a crime scene diagram. It’s important to be able to share your work, so David concludes with various ways you can publish and share your diagrams.",Course,2022,2022-06-07 07:51 UTC,FALSE,N/A
Data Visualization: Storytelling,"<div><a href=""https://www.linkedin.com/newsletters/6599926882873991168?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bill's LinkedIn Newsletter</a></div><br>We are wired for story. We crave it. Storytelling has played an integral role in our ability to make progress as a species. It should come as no surprise, then, that presenting data and information in story form maximizes the effectiveness of our communication. We can create deeper emotional responses in our audience when we present data in story form.<br><br>Join data visualization expert Bill Shander as he guides you through the process of turning ""facts and figures"" into ""story"" to engage and fulfill our human expectation for information. This course is intended for anyone who works with data and has to communicate it to others, whether a researcher, a data analyst, a consultant, a marketer, or a journalist. Bill shows you how to think about, and craft, stories from data by examining many compelling stories in detail.",Course,2022,N/A,FALSE,N/A
Software Testing Foundations: Test Techniques,"We may marvel at a musician or athlete for their high level of skill and execution, but equally as important as their mastery of skills is their incredible technique in applying those skills. Technique is something you develop to ensure that whatever you deliver is the best possible outcome of your work, and in this course, Mike Fine applies this idea to software testing. As Mike shows, the more refined and honed your skills are, the better the results of your testing. Whether you’re a software tester looking to add to your skills, or prepping for an ISTQB certification, mastering many different test techniques only increases the chances that you have the tools to accomplish any task. Mike covers key techniques like black-box testing, white-box testing, and experienced-based testing. As these techniques are often full of esoteric lingo and complicated terminology, Mike also gives some advice on how to communicate your testing process so your results aren’t lost in technical jargon.",Course,2023,2023-02-15 06:37 UTC,FALSE,N/A
Business Benefits Realization Foundations,"Increased competition, globalization, and shifting technologies are just some of the contributing factors that require today's organizations to up their game to ensure the money they invest in product development is spent on the highest-valued efforts. Without a clear approach to define how programs and projects are selected, funded, and managed, organizations may end up delivering solutions that have a high probability of failure. Such failures include missing customer expectations, solving the wrong problems, or misaligning solutions with the direction the enterprise is moving.<br><br>In this course, Laura Paton provides an introduction to business benefits realization, a practice designed to help organizations select the best change initiatives and ensure the proposed changes deliver and sustain business value. Laura breaks down the components of business benefits realization—introducing  a five-part life cycle—and explains the steps for producing key business benefits deliverables.",Course,2022,N/A,FALSE,N/A
Sway Essential Training,"Learn how to create and share interactive presentations, reports, and stories with Sway, the popular app included in Office 365. In this course, Gini von Courter shows how to get started using Sway, whether you’re creating Sways from existing PDF or PowerPoint documents or from scratch. Gini covers how to modify the storyline, use cards, set image options, and determine navigation. She explains how to customize your style, remix your Sway, and embed rich content, including video, audio, and other content. Gini discusses ways to use the Accessibility Checker to make your Sway accessible. Plus, she goes over how to save a Sway as a template, export it, and share your Sway with colleagues and external users.",Course,2022,2022-06-07 17:07 UTC,FALSE,N/A
Excel: Advanced Formulas and Functions (2022),"Follow along with Excel expert Dennis Taylor as he demystifies the hundreds of formulas and functions available in Excel. Dennis starts with a few critical formula shortcuts that will speed up your work, then covers a variety of functions, such as VLOOKUP, MATCH, and INDEX, statistical functions, text functions, and date and time, math, text, and information functions. Dennis provides practical examples to help viewers easily transition to using Excel's most powerful formulas and functions in real-world scenarios. Note that this course is recorded in Excel for Office 365 but anyone using a recent version—including 2019, 2016, and 2013—will be able to follow along.",Course,2022,N/A,FALSE,N/A
Nano Tips for New Managers with Lorraine Lee,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for successfully navigating your role as a new manager. Gather insights to grow and lead a winning team from virtual keynote speaker, consultant, and executive coach Lorraine Lee.</p><p>Learn how to thrive in your first few months as a manager and overcome your insecurities with your team. Throw perfection out the door, manage meetings intentionally, build trust, and advocate for everyone on the team. Discover practical techniques for giving and receiving feedback, sharing goals and expectations, and creating a thoughtful, inclusive work environment. Along the way, Lorraine also shares unexpected approaches to management, like how to support your teammates so that they can find their next role—even if it's not on your team!</p>",Course,2023,N/A,FALSE,N/A
Supply Chain Foundations,"What is supply chain management (SCM)? It's the system that connects and integrates the links of sourcing, procurement, conversion, and logistics management. In this course, professor Eddie Davila provides a detailed overview of all of the links in the typical supply chain. He explains what is involved in purchasing inventory and setting up supplier relationships, what you need to consider when deciding how to manufacture and design your product, and, lastly, how to address the logistics of distribution and delivery. Plus, get a glimpse into the world of the supply chain manager by discussing some of the hottest issues in SCM today: how to go global, the role of ethics and sustainability, and how SCM can help with disaster relief.",Course,2021,N/A,FALSE,N/A
Power BI: Dashboards for Beginners (2020),"Get a short and simple beginner's guide to Power BI. In this quick course, Joshua Rischin demystifies the process of building dashboards in Power BI, the powerful business analytics and data visualization tool from Microsoft. Joshua begins with a quick primer on how Power BI dashboards work, including the building blocks of a dashboard. Next, he shows how to select the right data and connect it to your dashboard. You can then learn how to prepare and adjust the dashboard’s layout, select and configure a chart type, apply dashboard filters, and enhance the dashboard in a number of useful ways. These lessons make it easy even for novice users to turn raw data into a powerful story that can help drive better business decisions.",Course,2022,2022-05-25 05:28 UTC,FALSE,N/A
Predictive Analytics Essential Training: Data Mining,"Are you a data science practitioner, looking to develop or enhance your skills in predictive analysis and data mining? This course provides several “big picture” insights, via instructor Keith McCormick, a veteran practitioner who has completed dozens of real-world projects. Keith begins by introducing you to key definitions and processes that you will need to complete the course successfully. He steps you through defining the problem you need your predictive analysis to address, then focuses on how to make sure you meet the data requirements and how good data preparation improves your data mining projects.  Keith dives into the skill sets and resources that you need and the problems you will face. Then he goes over the steps to find the solution and put it to work with probabilities, propensities, missing data, meta modeling, and much more. Keith finishes up with detailed explanations of CRISP-DM and Tom Khabaza’s nine laws of data mining, plus Tom’s new 10th law.",Course,2022,2022-06-24 04:33 UTC,FALSE,N/A
Microsoft 365: Choose the Right Tool for the Job,"With the dizzying array of tools included in Microsoft 365, it can be hard to know where to turn for common business tasks. Is it better to organize information in Excel or Microsoft Lists? Should files be shared via OneDrive or SharePoint? What’s the best way to communicate with colleagues: Teams, Outlook, or Yammer? In this short course, Nick Brazzi walks through the key features of the most commonly used tools in Microsoft 365, explaining the pros and cons of each for a variety of business tasks. Nick also shares little-known yet powerful uses for standard Office tools like Word and PowerPoint. This course can help you learn to be more efficient with Microsoft 365—no matter what the job.",Course,2022,N/A,FALSE,N/A
Python Data Analysis,"Data science is transforming the way that government and industry leaders look at both specific problems and the world at large. Curious about how data analysis actually works in practice? In this course, instructor Michele Vallisneri shows you how, explaining what it takes to get started with data science using Python.<br/><br/>Michele demonstrates how to set up your analysis environment and provides a refresher on the basics of working with data structures in Python. Then, he jumps into the big stuff: the power of arrays, indexing, and tables in NumPy and pandas—two popular third-party packages designed specifically for data analysis. He also walks through two sample big-data projects: using NumPy to identify and visualize weather patterns and using pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned.<br/><br/>Note: This version of the course was updated to reflect recent changes in Python 3, NumPy, and pandas.",Course,2022,N/A,FALSE,N/A
Python for Students,"There is no better time to learn Python than when you are young. Python is a powerful language for automation, game development, and web programming, and a great choice if you’re just starting to learn how to write code. The skills you learn in Python can translate C++, Ruby, and JavaScript. In this course—designed specifically for high-school and college-age students—you can learn how to use Python at an introductory level. Explore variables and functions, calculations, if-else statements, loops, and lists, and then build a complete Python project. Plus, find out where to go to learn more and how to join the Python community.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021,N/A,FALSE,N/A
Configure and Manage Office 365 Workload Integrations (Office 365/Microsoft 365),"On their own, Office 365 tools such as Teams and Power Apps can help organizations boost collaboration and productivity. In this course, discover how to make these Microsoft tools and services even more powerful by effectively configuring and managing Office 365 workload integrations. Instructor Ed Liberman provides IT pros with an overview of integration points with apps and services such as Power Automate (formerly Flow), Yammer, Stream, and Teams, explaining what it takes to make one app integrate data from another Office 365 app. These workloads focus on efficient and effective collaboration and adoption across these team communication and collaboration tools.",Course,2022,N/A,FALSE,N/A
Microsoft Planner Essential Training,"Learn how to stay organized and manage projects with Microsoft Planner, a planning and project management app for Microsoft 365. Follow along with David Rivers as he shows how to get things done in Planner, from creating new plans and setting due dates to updating a project's status and sharing files with team members. Plus, see how to switch over to Microsoft Teams from Planner and create new teams based on existing plans. Learn how to work more efficiently and stay focused on what's important by using Microsoft Planner for your next project.",Course,2022,2022-06-02 06:44 UTC,FALSE,N/A
Excel Tips Weekly,"<p>This tips-based course will show Excel users productivity-boosting tricks, cool hidden features, need-to-know functions, and advanced content on subjects such as using PivotTables for data analysis. Tune in every Tuesday for a new tip from expert Dennis Taylor. Each tutorial is a short, self-contained lesson guaranteed to give you new insights into Excel.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2020,N/A,FALSE,N/A
Excel: VLOOKUP and XLOOKUP for Beginners,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2021,N/A,FALSE,N/A
OneNote 2016 Essential Training (2020),"Learn how to use OneNote to create, edit, and save digital notes to keep yourself organized. Instructor David Rivers highlights easy ways to create notes, add and format text, stay organized with tables, and share and password-protect your notebooks. Plus, discover how to integrate all sorts of content into notes, such as screen clippings, images, audio and video, and even Word documents and Excel spreadsheets. Tune in to quickly start taking and capturing digital notes you can access across different devices.",Course,2022,N/A,FALSE,N/A
Speaking Confidently and Effectively,"The ability to present yourself and communicate well is crucial in any work environment. In this course, adapted from the podcast <i>How to Be Awesome at Your Job</i>, learn how to build on your presentation skills to gain a competitive advantage in your career. Professional speaker Diane DiResta shares tips and tricks for leveling up your presentations and boosting your executive presence. Learn how to craft your presentations around what’s important to the audience to ensure that you're only sharing the most impactful information. Discover how to shift your focus away from yourself to conquer your fear of speaking. Plus, get strategies for ensuring that your body, tone, and words are giving off one consistent message; planning for your worst-case scenario and establishing recovery strategies; handling tough questions; and more.<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/How_to_Be_Awesome_at_Your_Job_LOGO.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022,N/A,FALSE,N/A
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2020,N/A,FALSE,N/A
Data Cleaning in Python Essential Training,"If you’re looking for more efficient ways to prepare your data for analysis, it’s time to level up your skill set and reassess your approach to data cleaning. In this course, instructor Miki Tebeka shows you some of the most important features of productive data cleaning and acquisition, with practical coding examples using Python to test your skills. Learn about the organizational value of clean high-quality data, developing your ability to recognize common errors and quickly fix them as you go. Along the way, Miki offers cleaning strategies that can help optimize your workflow, including tips for causal analysis and easy-to-use tools for error prevention.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2023,N/A,FALSE,N/A
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022,N/A,FALSE,N/A
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2023,N/A,FALSE,N/A
Financial Accounting Foundations,"Businesses can’t operate unless they know if they’re in the red or black. Without an accurate financial picture, you can’t make purchasing, hiring, or any other important decisions. Financial accounting is the set of tools and techniques used to accurately gauge and report on the financial health of a company. In this course, finance professors Jim Stice and Earl Kay Stice teach you the basics. Get an overview of key financial statements, including the balance sheet and income statement, and the mechanics of accounting. Review some the current issues and emerging trends facing financial accountants, such as revenue recognition and tax deferral. Plus, learn how to read and analyze financial statements from publicly traded companies in order to ascertain company performance and value.",Course,2022,N/A,FALSE,N/A
Communicating in the Language of Leadership,"Leadership is a language of the heart. You want to motivate and inspire, not just talk. In this course, adapted from the podcast <i>How to Be Awesome at Your Job</i>, communications expert and pitch champion Chris Westfall explains how to communicate to achieve connection and results. Chris states that there are three ways that people listen: listening to confirm what they know, listening like a lawyer, and listening to discover something new. He explains how to harness these habits—in combination with “you” language—to achieve what you want. Plus, learn how to phrase your goals and desires in terms of their impact on others, in order to engage your team in initiatives that affect them.

<br><br>This course was created by Pete Mockaitis of <i><a href=""https://awesomeatyourjob.com/"" target=""_blank"">How to Be Awesome at Your Job</i></a>. We are pleased to offer this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/How_to_Be_Awesome_at_Your_Job_LOGO.jpg"" alt=""Company logo for How to Be Awesome at Your Job"" width=""20%"" height=""20%""/>",Course,2022,2022-05-20 06:11 UTC,FALSE,N/A
Lean Six Sigma: Define and Measure Tools,"The Green Belts or Black Belts that lead Lean Six Sigma projects are well-trained and ready to guide your project to the finish line. But what do you, as a team member on a Lean Six Sigma project team, need to know to be effective? In this course, Dr. Richard Chua provides coverage of fundamental Lean Six Sigma concepts that can help you add value to your project. Here, he focuses on key tools and techniques in the Define and Measure phases of the DMAIC—Define, Measure, Analyze, Improve, and Control—approach. Discover how Lean Six Sigma integrates lean into DMAIC. Learn about the project charter, process mapping, using Pareto charts to identify problem areas, and more. For information about the final three phases of DMAIC, make sure to check out the next installment of the <i>Lean Six Sigma Teams</i> series.",Course,2022,2022-08-09 04:42 UTC,FALSE,N/A
Coaching Yourself to Career Success,"More than likely, at some point you’ve felt unhappy about your career. Maybe you felt unfulfilled, undervalued, underutilized, or disempowered. In these defining moments, many people often look to a career coach for support, which can be costly. What if you could learn how to coach yourself? In this course, executive coach Alicia Reece teaches you how to be your own coach and shares advice on empowering yourself to take charge of your career. Using proven strategies and real-life case studies, she provides a roadmap for achieving the career results you want. If you’re feeling stuck in your job, join Alicia in this course as she helps equip you with the tools and strategies to take your career to the next level.",Course,2023,N/A,FALSE,N/A
Learning SQL Programming,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2022,N/A,FALSE,N/A
Advanced Microsoft Power BI,"<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Data visualization allows you to represent information digitally and graphically, to convey the results of data analysis. Microsoft Power BI is a suite of business analytics tools that help you gain insights from your data. The suite brings together familiar operations from well-known products—including Excel, Access, Power Query, and Power Pivot—to help you quickly move past the basics and on to comprehensive analysis. In this course, Helen Wall guides you through the advanced capabilities of the service. She shows how to work with calculations, effectively leverage the DAX language, create advanced queries, and use the M language to improve the querying process. Helen also demonstrates how to get data into Power BI using the Power Query editor and then model the loaded data using DAX columns, tables, and measures. To lend these concepts a real-world context, she shares how to create a financial model for loans.",Course,2023,N/A,FALSE,N/A
Smarter Note-Taking with Microsoft 365,"Microsoft MVP and productivity expert Heather Severino demonstrates how to take more efficient notes using the apps in Microsoft 365 (formerly Office 365). Heather shows you the best tool for the job, whether it’s taking notes for yourself, note-taking as a team, taking meeting minutes, or note-taking on a mobile device. She teaches you how to take handwritten notes with digital pens in OneNote. Next, Heather steps you through how to create OneNote notes from Outlook emails. She walks through how to capture and save images with the Office Lens and OneDrive mobile apps. She discusses how to take a quick note with a keyboard shortcut. She demonstrates how to automatically create a notebook page from Outlook meeting details. She teaches you how to ideate with others using the Microsoft Whiteboard app. In conclusion, Heather covers how to add a notebook to a team channel for group collaboration and adds recommended app help and online resources.",Course,2022,2022-05-26 05:50 UTC,FALSE,N/A
Software Testing: Alpha Testing in an Agile World,"Agile is quickly overtaking waterfall as the methodology for developing products. This brings interesting and important challenges as well as a mind shift in executing Alpha tests. Testing has more complexities that you might imagine. There are a variety of approaches, procedures, and strategies for conducting testing throughout a product test. This course with Mike Fine focuses on illuminating the variable and proven techniques used to achieve quality assurance on products, and the issues and challenges you may encounter when switching from the traditional Waterfall methodology of product development to the agile processes. Mike covers the basic concepts of what makes quality testing, goes over existing processes, how to transition to agile testing, key techniques and tools, and analyzes best practices for communication, product delivery, and timing, testing, and alignment.",Course,2023,2023-02-24 07:28 UTC,TRUE,N/A
Top 10 Skills for Machine Learning Professionals,"Check out the <i>Top 10 Skills</i> series, where career experts and LinkedIn Learning instructors walk you through the most important skills for data science professionals today. In this short beginner-friendly course, find out what you need to know to succeed in the rapidly growing field of machine learning, gathering insights along the way from data expert Ben Sullins to build out your toolbox and boost your career.<br><br>Whether you’re looking for a new move in data science, or just retooling for your current role, Ben shows you the skill set that can set you apart, working down the list, one skill at a time. Explore the power of knowing more about math, basic algorithms and data structures, object-oriented programming, programming languages, data processing frameworks, machine learning algorithms and models, data mining and modeling techniques, coding practices, communication skills, and curiosity. Discover the importance of preparing for tomorrow by learning impactful, new skills today.<br><br>Note: This course was created by Ben Sullins of Free the Data Academy. We are pleased to host this content in our library.",Course,2022,N/A,FALSE,N/A
Six Sigma Foundations,"Learn how to apply Six Sigma to drive improvements in the performance of your processes, products, and services. Dr. Richard Chua explains the fundamentals of Six Sigma—a customer-focused, data-driven approach to improvement. He'll go over the basic concepts, including critical-to-quality (CTQ) requirements, variation, defects per million opportunities (DPMO), the roles and belts of Six Sigma professionals, and the criteria for identifying Six Sigma projects successfully. The rest of the course walks through the five phases of Six Sigma DMAIC—Define, Measure, Analyze, Improve, and Control—and the steps, data, and key deliverables involved in each phase.",Course,2020,N/A,FALSE,N/A
Learning Excel: Data Analysis,"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses; modeling different data distributions; calculating the covariance and correlation between data sets; and calculating probabilities, combinations, and permutations. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2023,N/A,FALSE,N/A
Market Research: Qualitative,"If you’re a modern-day marketer, you’re not going to get by with just numbers, charts, and graphs anymore. In addition to your quantitative data, you need to learn what your customers really want. In short, you need to <i>know</i> your customers. You have to know what’s going to motivate and drive them, what they’re feeling as they’re making buying decisions, interacting with your products, or engaging with your brand. In this course, market research expert and best-selling author Sarah Weise walks you through the best practices and processes of gathering qualitative research, and how it should fit in with your marketing strategies. Sarah’s tactical course shows how to conduct a new research project, and covers topics like interviews, focus groups, diary studies, and ethnography. She also gives guidance on selecting the right methodology for your research and tips on moderating your groups.",Course,2023,N/A,FALSE,N/A
Business Analysis: Essential Tools and Techniques,"If you do business analysis work and want to see not only what the key deliverables are but also how to deliver them, then this course is for you. This technology-agnostic course employs different technologies to show you how to set up and deliver key business analysis artifacts. Instructor Jamie Champagne highlights traceability as she through the setup and usage of a requirements traceability matrix.  Jamie demonstrates how to model processes by showing you the natural evolution of the degree of detail that happens with business analysis work.  Plus, she explains the power of context diagrams with both basic and detailed data flow diagrams to define and capture the requirements done in business analysis work.",Course,2022,N/A,FALSE,N/A
From Excel to Tableau,"Making the switch from manipulating your data and insights in Microsoft Excel to Tableau can feel like a daunting task, but this transition doesn't need to be daunting. In this course, data visualization expert Heather Johnson guides you through the process of moving from Excel over to Tableau. First, Heather covers the basics of using the Tableau desktop application and connecting your Excel data source with Tableau. Then, she walks through the steps of creating the data worksheets you'll need to visualize the data. Finally, Heather shares her tips for creating dashboards in Tableau. You'll finish this course feeling prepared to get started using Tableau.",Course,2022,N/A,FALSE,N/A
Learning Office 365 (Microsoft 365),"Get a tour of Office 365, Microsoft's cloud-based productivity suite. David Rivers shows how to access your Office account and get up to speed with the Office 365 core apps, including subscription versions of Excel, Word, PowerPoint, and Outlook, along with Teams, OneDrive, and SharePoint. David explains how to choose the right plan and get Office 365 running on your Mac or PC. He demonstrates how to sign in and set up your profile, store and sync files, and navigate from app to app. You can also learn how to use Teams to connect and collaborate with colleagues, and how to use SharePoint team sites.",Course,2022,2022-05-25 04:44 UTC,FALSE,N/A
From Excel to SQL,"Data is powerful, and the ability to access it quickly and accurately is important. In this course, instructor James Parkin helps you use your existing Excel skills to master the basics of working with data in SQL, one of the most common languages for database wrangling. James shows you how to set up your environment for SQL and shares some differences between spreadsheets and databases. He steps through SQL basics that you need to know to access and identify the data you need. In both Excel and SQL, you work with functions. James covers several, including SUM, AVERAGE, MIN, MAX, COUNT. He explains different methods of sorting, grouping, and organizing your data in SQL. James concludes by showing you how to use joins, VLOOKUP, HLOOKUP, and XLOOKUP to combine your data.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022,N/A,FALSE,N/A
Outlook Essential Training (Office 365/Microsoft 365) (2020),"Learn how to set up and manage email, calendars, and contacts in the Office 365 version of Microsoft Outlook. Outlook has the tools you need to work as a team, track assignments, and collaborate effectively. This beginner-level course begins with a tour of the interface and shows how to connect a wide variety of email accounts to Outlook. Staff instructor Jess Stratton then shows how to quickly create, send, and read email and reduce your inbox clutter; create and share contacts; and stay on schedule with calendars and tasks. Plus, learn how to back up your Outlook data in case you need to restore it or move it to a different machine.",Course,2022,2022-05-27 07:09 UTC,FALSE,N/A
